,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,ERROR,WARN,INFO
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743878065.8494458,70,68,24
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1743878139.5398953,70,68,24
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,1743879700.3417025,71,69,24
3,3.0,3.0,3.0,3.0,3.0,3.0,,,,1743879756.1113453,71,69,24
4,4.0,4.0,4.0,4.0,4.0,,,,,1743880489.753808,72,70,24
5,5.0,5.0,5.0,5.0,,,,,,1743880531.9615314,72,70,24
6,6.0,6.0,6.0,,,,,,,1743880684.0451477,72,70,24
7,7.0,7.0,,,,,,,,1743880702.212924,72,70,24
8,8.0,,,,,,,,,1743880918.651996,72,70,24
9,,,,,,,,,,1743881040.420436,72,70,24
